wall_time_s,iso_time,cycle_idx,phase,position_mm,force_n,target_position_mm,speed_mm_s
0.130027,2026-02-24T09:29:32.947,1,to_target,0.000000,-2.440000,10.000000,2.000000
0.630767,2026-02-24T09:29:33.447,1,to_target,0.674383,-2.320000,10.000000,2.000000
1.131237,2026-02-24T09:29:33.948,1,to_target,1.674421,-2.500000,10.000000,2.000000
1.632207,2026-02-24T09:29:34.448,1,to_target,2.674383,-2.500000,10.000000,2.000000
2.132983,2026-02-24T09:29:34.949,1,to_target,3.674383,-2.440000,10.000000,2.000000
2.634948,2026-02-24T09:29:35.450,1,to_target,4.674421,-2.320000,10.000000,2.000000
3.135650,2026-02-24T09:29:35.951,1,to_target,5.674383,-2.380000,10.000000,2.000000
3.636438,2026-02-24T09:29:36.452,1,to_target,6.674383,-2.500000,10.000000,2.000000
4.136904,2026-02-24T09:29:36.953,1,to_target,7.674383,-2.500000,10.000000,2.000000
4.637976,2026-02-24T09:29:37.454,1,to_target,8.714390,-2.380000,10.000000,2.000000
5.138920,2026-02-24T09:29:37.955,1,to_target,9.714390,-2.380000,10.000000,2.000000
5.639596,2026-02-24T09:29:38.456,1,to_target,10.000000,-2.440000,10.000000,2.000000
6.140502,2026-02-24T09:29:38.956,1,to_target,10.000039,-2.380000,10.000000,2.000000
6.642358,2026-02-24T09:29:39.457,1,to_target,10.000000,-2.440000,10.000000,2.000000
7.142873,2026-02-24T09:29:39.958,1,to_origin,9.487539,-2.500000,10.000000,2.000000
7.646634,2026-02-24T09:29:40.462,1,to_origin,8.487577,-2.440000,10.000000,2.000000
8.145453,2026-02-24T09:29:40.960,1,to_origin,7.487616,-2.440000,10.000000,2.000000
8.646230,2026-02-24T09:29:41.461,1,to_origin,6.487577,-2.440000,10.000000,2.000000
9.147191,2026-02-24T09:29:41.963,1,to_origin,5.487616,-2.320000,10.000000,2.000000
9.648101,2026-02-24T09:29:42.463,1,to_origin,4.487616,-2.440000,10.000000,2.000000
10.149081,2026-02-24T09:29:42.965,1,to_origin,3.487577,-2.440000,10.000000,2.000000
10.649891,2026-02-24T09:29:43.466,1,to_origin,2.487577,-2.440000,10.000000,2.000000
11.151392,2026-02-24T09:29:43.967,1,to_origin,1.487577,-2.320000,10.000000,2.000000
11.652628,2026-02-24T09:29:44.469,1,to_origin,0.487577,-2.380000,10.000000,2.000000
12.153589,2026-02-24T09:29:44.970,1,to_origin,0.000000,-2.440000,10.000000,2.000000
12.655414,2026-02-24T09:29:45.470,1,to_origin,0.000000,-2.380000,10.000000,2.000000
13.155487,2026-02-24T09:29:45.971,1,to_origin,0.000000,-2.380000,10.000000,2.000000
13.657166,2026-02-24T09:29:46.472,2,to_target,0.514390,-2.440000,10.000000,2.000000
14.157301,2026-02-24T09:29:46.972,2,to_target,1.514390,-2.380000,10.000000,2.000000
14.658079,2026-02-24T09:29:47.473,2,to_target,2.554398,-2.500000,10.000000,2.000000
15.159183,2026-02-24T09:29:47.974,2,to_target,3.554398,-2.320000,10.000000,2.000000
15.659928,2026-02-24T09:29:48.476,2,to_target,4.554398,-2.440000,10.000000,2.000000
16.160229,2026-02-24T09:29:48.976,2,to_target,5.554437,-2.500000,10.000000,2.000000
16.661523,2026-02-24T09:29:49.477,2,to_target,6.554321,-2.440000,10.000000,2.000000
17.161599,2026-02-24T09:29:49.977,2,to_target,7.554437,-2.440000,10.000000,2.000000
17.661654,2026-02-24T09:29:50.477,2,to_target,8.554360,-2.380000,10.000000,2.000000
18.163218,2026-02-24T09:29:50.978,2,to_target,9.554398,-2.440000,10.000000,2.000000
18.664354,2026-02-24T09:29:51.479,2,to_target,10.000000,-2.380000,10.000000,2.000000
19.165305,2026-02-24T09:29:51.980,2,to_target,10.000000,-2.500000,10.000000,2.000000
19.666672,2026-02-24T09:29:52.481,2,to_target,10.000000,-2.500000,10.000000,2.000000
20.168298,2026-02-24T09:29:52.982,2,to_origin,9.485532,-2.440000,10.000000,2.000000
20.669286,2026-02-24T09:29:53.483,2,to_origin,8.485571,-2.440000,10.000000,2.000000
21.169677,2026-02-24T09:29:53.984,2,to_origin,7.485571,-2.500000,10.000000,2.000000
21.671955,2026-02-24T09:29:54.485,2,to_origin,6.485571,-2.500000,10.000000,2.000000
22.173501,2026-02-24T09:29:54.989,2,to_origin,5.485571,-2.440000,10.000000,2.000000
22.673100,2026-02-24T09:29:55.488,2,to_origin,4.485571,-2.440000,10.000000,2.000000
23.174354,2026-02-24T09:29:55.989,2,to_origin,3.485571,-2.440000,10.000000,2.000000
23.675906,2026-02-24T09:29:56.491,2,to_origin,2.485532,-2.440000,10.000000,2.000000
24.177171,2026-02-24T09:29:56.992,2,to_origin,1.485532,-2.380000,10.000000,2.000000
24.678181,2026-02-24T09:29:57.493,2,to_origin,0.445563,-2.380000,10.000000,2.000000
25.179732,2026-02-24T09:29:57.994,2,to_origin,0.000000,-2.500000,10.000000,2.000000
25.680178,2026-02-24T09:29:58.495,2,to_origin,-0.000039,-2.380000,10.000000,2.000000
26.181841,2026-02-24T09:29:58.996,2,to_origin,0.000000,-2.380000,10.000000,2.000000
