wall_time_s,cycle_idx,phase,position_mm,force_n,target_position_mm,speed_mm_s
0.097699,1,to_target,0.000000,6.410000,10.000000,20.000000
0.149021,1,to_target,0.000000,6.350000,10.000000,20.000000
0.199422,1,to_target,0.000039,6.470000,10.000000,20.000000
0.250648,1,to_target,0.020177,6.540000,10.000000,20.000000
0.301527,1,to_target,0.170293,6.660000,10.000000,20.000000
0.352847,1,to_target,0.365895,6.470000,10.000000,20.000000
0.404726,1,to_target,0.807755,6.410000,10.000000,20.000000
0.455814,1,to_target,1.377392,6.350000,10.000000,20.000000
0.507241,1,to_target,1.773573,6.410000,10.000000,20.000000
0.557948,1,to_target,2.372338,6.540000,10.000000,20.000000
0.607892,1,to_target,2.772261,6.350000,10.000000,20.000000
0.658498,1,to_target,3.372261,6.350000,10.000000,20.000000
0.709272,1,to_target,3.772068,6.410000,10.000000,20.000000
0.759883,1,to_target,4.372068,6.410000,10.000000,20.000000
0.811149,1,to_target,4.772145,6.470000,10.000000,20.000000
0.862757,1,to_target,5.372145,6.470000,10.000000,20.000000
0.914326,1,to_target,5.772068,6.470000,10.000000,20.000000
0.965418,1,to_target,6.372106,6.470000,10.000000,20.000000
1.016088,1,to_target,6.972106,6.410000,10.000000,20.000000
1.066463,1,to_target,7.372184,6.470000,10.000000,20.000000
1.117056,1,to_target,7.972184,6.410000,10.000000,20.000000
1.168258,1,to_target,8.372145,6.540000,10.000000,20.000000
1.219577,1,to_target,8.968094,6.410000,10.000000,20.000000
1.270728,1,to_target,9.320679,6.290000,10.000000,20.000000
1.321197,1,to_target,9.715008,6.350000,10.000000,20.000000
1.371748,1,to_target,9.879707,6.410000,10.000000,20.000000
1.422104,1,to_target,9.981481,6.410000,10.000000,20.000000
1.472541,1,to_target,9.994869,6.350000,10.000000,20.000000
1.523206,1,to_target,9.999228,6.350000,10.000000,20.000000
1.574230,1,to_origin,9.999807,6.410000,10.000000,20.000000
1.624241,1,to_origin,10.000000,6.350000,10.000000,20.000000
1.674942,1,to_origin,10.000039,6.410000,10.000000,20.000000
1.726005,1,to_origin,10.000039,6.470000,10.000000,20.000000
1.776690,1,to_origin,9.948110,6.410000,10.000000,20.000000
1.826856,1,to_origin,9.829707,6.350000,10.000000,20.000000
1.877464,1,to_origin,9.506713,6.410000,10.000000,20.000000
1.928949,1,to_origin,9.192207,6.470000,10.000000,20.000000
1.979469,1,to_origin,8.622647,6.410000,10.000000,20.000000
2.030914,1,to_origin,8.226466,6.470000,10.000000,20.000000
2.081602,1,to_origin,7.627662,6.410000,10.000000,20.000000
2.132352,1,to_origin,7.227778,6.350000,10.000000,20.000000
2.184248,1,to_origin,6.627855,6.470000,10.000000,20.000000
2.235003,1,to_origin,6.027932,6.470000,10.000000,20.000000
2.286768,1,to_origin,5.627894,6.470000,10.000000,20.000000
2.337852,1,to_origin,5.027778,6.410000,10.000000,20.000000
2.388377,1,to_origin,4.627932,6.470000,10.000000,20.000000
2.439756,1,to_origin,4.027894,6.410000,10.000000,20.000000
2.491646,1,to_origin,3.627778,6.350000,10.000000,20.000000
2.541721,1,to_origin,3.027855,6.470000,10.000000,20.000000
2.592623,1,to_origin,2.627894,6.410000,10.000000,20.000000
2.643368,1,to_origin,2.027816,6.410000,10.000000,20.000000
2.695346,1,to_origin,1.627855,6.410000,10.000000,20.000000
2.746198,1,to_origin,1.031790,6.410000,10.000000,20.000000
2.796356,1,to_origin,0.528781,6.410000,10.000000,20.000000
2.850233,1,to_origin,0.284992,6.350000,10.000000,20.000000
2.899082,1,to_origin,0.067747,6.540000,10.000000,20.000000
2.950148,1,to_origin,0.018557,6.350000,10.000000,20.000000
3.001506,1,to_origin,0.002701,6.410000,10.000000,20.000000
3.052093,2,to_target,0.000772,6.540000,10.000000,20.000000
3.103421,2,to_target,0.000077,6.470000,10.000000,20.000000
3.154156,2,to_target,0.000000,6.350000,10.000000,20.000000
3.205913,2,to_target,0.000000,6.410000,10.000000,20.000000
3.257364,2,to_target,0.049884,6.470000,10.000000,20.000000
3.308060,2,to_target,0.166358,6.470000,10.000000,20.000000
3.358763,2,to_target,0.486343,6.540000,10.000000,20.000000
3.409745,2,to_target,0.798843,6.470000,10.000000,20.000000
3.460911,2,to_target,1.367515,6.350000,10.000000,20.000000
3.511523,2,to_target,1.763580,6.350000,10.000000,20.000000
3.562877,2,to_target,2.362307,6.350000,10.000000,20.000000
3.614421,2,to_target,2.762230,6.470000,10.000000,20.000000
3.665283,2,to_target,3.362153,6.410000,10.000000,20.000000
3.716224,2,to_target,3.962114,6.470000,10.000000,20.000000
3.767779,2,to_target,4.362037,6.410000,10.000000,20.000000
3.819847,2,to_target,4.962037,6.410000,10.000000,20.000000
3.870749,2,to_target,5.362114,6.410000,10.000000,20.000000
3.921856,2,to_target,5.962037,6.470000,10.000000,20.000000
3.973676,2,to_target,6.362037,6.470000,10.000000,20.000000
4.023961,2,to_target,6.962076,6.470000,10.000000,20.000000
4.074209,2,to_target,7.362191,6.470000,10.000000,20.000000
4.124692,2,to_target,7.962076,6.470000,10.000000,20.000000
4.175950,2,to_target,8.562076,6.470000,10.000000,20.000000
