wall_time_s,iso_time,cycle_idx,phase,position_mm,force_n,target_position_mm,speed_mm_s
0.100813,2026-02-24T09:24:31.201,1,to_target,0.000000,-2.320000,10.000000,2.000000
0.601075,2026-02-24T09:24:31.701,1,to_target,0.594367,-2.250000,10.000000,2.000000
1.101131,2026-02-24T09:24:32.201,1,to_target,1.594444,-2.320000,10.000000,2.000000
1.601913,2026-02-24T09:24:32.702,1,to_target,2.594367,-2.320000,10.000000,2.000000
2.102285,2026-02-24T09:24:33.202,1,to_target,3.594367,-2.250000,10.000000,2.000000
2.602696,2026-02-24T09:24:33.702,1,to_target,4.594406,-2.320000,10.000000,2.000000
3.103422,2026-02-24T09:24:34.203,1,to_target,5.594406,-2.320000,10.000000,2.000000
3.603860,2026-02-24T09:24:34.704,1,to_target,6.594444,-2.250000,10.000000,2.000000
4.104381,2026-02-24T09:24:35.204,1,to_target,7.634375,-2.250000,10.000000,2.000000
4.604739,2026-02-24T09:24:35.704,1,to_target,8.634375,-2.250000,10.000000,2.000000
5.105342,2026-02-24T09:24:36.205,1,to_target,9.634414,-2.250000,10.000000,2.000000
5.606061,2026-02-24T09:24:36.706,1,to_target,10.000000,-2.320000,10.000000,2.000000
6.106572,2026-02-24T09:24:37.206,1,to_target,10.000039,-2.440000,10.000000,2.000000
6.607733,2026-02-24T09:24:37.707,1,to_target,10.000000,-2.250000,10.000000,2.000000
7.107781,2026-02-24T09:24:38.207,1,to_origin,9.487577,-2.380000,10.000000,2.000000
7.608265,2026-02-24T09:24:38.708,1,to_origin,8.487577,-2.320000,10.000000,2.000000
8.108637,2026-02-24T09:24:39.208,1,to_origin,7.487577,-2.250000,10.000000,2.000000
8.609304,2026-02-24T09:24:39.709,1,to_origin,6.487539,-2.320000,10.000000,2.000000
9.109584,2026-02-24T09:24:40.209,1,to_origin,5.487539,-2.440000,10.000000,2.000000
9.610049,2026-02-24T09:24:40.710,1,to_origin,4.487577,-2.440000,10.000000,2.000000
10.111059,2026-02-24T09:24:41.210,1,to_origin,3.487500,-2.320000,10.000000,2.000000
10.611375,2026-02-24T09:24:41.711,1,to_origin,2.487539,-2.320000,10.000000,2.000000
11.112020,2026-02-24T09:24:42.212,1,to_origin,1.487539,-2.320000,10.000000,2.000000
11.612545,2026-02-24T09:24:42.712,1,to_origin,0.487577,-2.320000,10.000000,2.000000
12.113034,2026-02-24T09:24:43.213,1,to_origin,-0.000039,-2.250000,10.000000,2.000000
12.613464,2026-02-24T09:24:43.713,1,to_origin,0.000000,-2.320000,10.000000,2.000000
13.114061,2026-02-24T09:24:44.214,1,to_origin,0.000000,-2.380000,10.000000,2.000000
13.614461,2026-02-24T09:24:44.714,2,to_target,0.514313,-2.440000,10.000000,2.000000
14.115096,2026-02-24T09:24:45.215,2,to_target,1.514429,-2.320000,10.000000,2.000000
14.615576,2026-02-24T09:24:45.715,2,to_target,2.514390,-2.320000,10.000000,2.000000
15.116328,2026-02-24T09:24:46.216,2,to_target,3.514390,-2.250000,10.000000,2.000000
15.616644,2026-02-24T09:24:46.716,2,to_target,4.514429,-2.320000,10.000000,2.000000
16.117340,2026-02-24T09:24:47.217,2,to_target,5.514429,-2.380000,10.000000,2.000000
16.617671,2026-02-24T09:24:47.717,2,to_target,6.514429,-2.380000,10.000000,2.000000
17.119376,2026-02-24T09:24:48.219,2,to_target,7.514352,-2.250000,10.000000,2.000000
17.619098,2026-02-24T09:24:48.719,2,to_target,8.514429,-2.380000,10.000000,2.000000
18.119774,2026-02-24T09:24:49.219,2,to_target,9.514429,-2.250000,10.000000,2.000000
18.620464,2026-02-24T09:24:49.720,2,to_target,10.000000,-2.380000,10.000000,2.000000
19.120515,2026-02-24T09:24:50.220,2,to_target,10.000000,-2.250000,10.000000,2.000000
19.621484,2026-02-24T09:24:50.721,2,to_target,10.000000,-2.320000,10.000000,2.000000
20.121954,2026-02-24T09:24:51.221,2,to_origin,9.485532,-2.380000,10.000000,2.000000
20.622233,2026-02-24T09:24:51.722,2,to_origin,8.485571,-2.320000,10.000000,2.000000
21.123053,2026-02-24T09:24:52.223,2,to_origin,7.485610,-2.320000,10.000000,2.000000
21.624189,2026-02-24T09:24:52.723,2,to_origin,6.485571,-2.250000,10.000000,2.000000
22.124567,2026-02-24T09:24:53.224,2,to_origin,5.445486,-2.250000,10.000000,2.000000
22.625188,2026-02-24T09:24:53.725,2,to_origin,4.445563,-2.380000,10.000000,2.000000
23.125717,2026-02-24T09:24:54.225,2,to_origin,3.445525,-2.320000,10.000000,2.000000
23.626443,2026-02-24T09:24:54.726,2,to_origin,2.445563,-2.320000,10.000000,2.000000
24.127248,2026-02-24T09:24:55.227,2,to_origin,1.445563,-2.320000,10.000000,2.000000
24.627571,2026-02-24T09:24:55.727,2,to_origin,0.445525,-2.320000,10.000000,2.000000
25.128016,2026-02-24T09:24:56.228,2,to_origin,0.000000,-2.320000,10.000000,2.000000
25.628611,2026-02-24T09:24:56.728,2,to_origin,0.000000,-2.250000,10.000000,2.000000
26.129010,2026-02-24T09:24:57.229,2,to_origin,0.000000,-2.320000,10.000000,2.000000
