wall_time_s,dope_time_s,position,force_n,force_setpoint_n,segment_idx
0.052594,0.000000,0.055633,6.720000,5.000000,0
0.103518,0.000000,0.055633,6.790000,5.000000,0
0.164713,0.000000,0.055633,6.720000,5.000000,0
0.220893,0.000000,0.055633,6.720000,5.000000,0
0.276654,0.000000,0.055633,6.720000,5.000000,0
0.326996,0.000000,0.055633,6.660000,5.000000,0
0.377655,0.000000,0.055633,6.720000,5.000000,0
0.428876,0.000000,0.055633,6.720000,5.000000,0
0.479908,0.000000,0.055633,6.790000,5.000000,0
0.530746,0.000000,0.055633,6.720000,5.000000,0
0.581636,0.000000,0.055633,6.660000,5.000000,0
0.632352,0.000000,0.055633,6.660000,5.000000,0
0.683083,0.000000,0.055633,6.790000,5.000000,0
0.734431,0.000000,0.055633,6.790000,5.000000,0
0.785400,0.000000,0.055633,6.720000,5.000000,0
0.836097,0.000000,0.055633,6.660000,5.000000,0
0.887289,0.000000,0.055633,6.790000,5.000000,0
0.938382,0.000000,0.055633,6.600000,5.000000,0
0.989879,0.000000,0.055633,6.720000,5.000000,0
1.040718,0.000000,0.055633,6.720000,5.000000,0
1.091381,0.000000,0.055633,6.790000,5.000000,0
1.142016,0.000000,0.055633,6.790000,5.000000,0
1.192834,0.000000,0.055633,6.600000,5.000000,0
1.243575,0.000000,0.055633,6.850000,5.000000,0
1.294410,0.000000,0.055633,6.790000,5.000000,0
1.345002,0.000000,0.055633,6.660000,5.000000,0
1.395505,0.000000,0.055633,6.600000,5.000000,0
1.446520,0.000000,0.055633,6.720000,5.000000,0
1.498224,0.000000,0.055633,6.540000,5.000000,0
1.549289,0.000000,0.055633,6.720000,5.000000,0
1.600565,0.000000,0.055633,6.660000,5.000000,0
1.651239,0.000000,0.055633,6.720000,5.000000,0
1.702034,0.000000,0.055633,6.660000,5.000000,0
1.753550,0.000000,0.055633,6.660000,5.000000,0
1.804669,0.000000,0.055633,6.660000,5.000000,0
1.855926,0.000000,0.055633,6.660000,5.000000,0
1.907319,0.000000,0.055633,6.720000,5.000000,0
1.957970,0.000000,0.055633,6.790000,5.000000,0
2.009583,0.000000,0.055633,6.600000,5.000000,0
2.060520,0.000000,0.055633,6.720000,5.000000,0
2.111110,0.000000,0.055633,6.790000,5.000000,0
2.162084,0.000000,0.055633,6.660000,5.000000,0
2.213077,0.000000,0.055633,6.720000,5.000000,0
2.263847,0.000000,0.055633,6.720000,5.000000,0
2.314906,0.000000,0.055633,6.790000,5.000000,0
2.365937,0.000000,0.055633,6.720000,5.000000,0
2.416832,0.000000,0.055633,6.660000,5.000000,0
2.467526,0.000000,0.055633,6.790000,5.000000,0
2.518682,0.000000,0.055633,6.790000,5.000000,0
2.569472,0.000000,0.055633,6.790000,5.000000,0
2.620522,0.000000,0.055633,6.720000,5.000000,0
2.671701,0.000000,0.055633,6.790000,5.000000,0
2.722980,0.000000,0.055633,6.720000,5.000000,0
2.774024,0.000000,0.055633,6.660000,5.000000,0
2.825297,0.000000,0.055633,6.790000,5.000000,0
2.876017,0.000000,0.055633,6.720000,5.000000,0
2.926816,0.000000,0.055633,6.790000,5.000000,0
2.977641,0.000000,0.055633,6.720000,5.000000,0
3.028597,0.000000,0.055633,6.790000,5.000000,0
3.079253,0.000000,0.055633,6.720000,5.000000,0
3.130066,0.000000,0.055633,6.720000,5.000000,0
3.180775,0.000000,0.055633,6.720000,5.000000,0
3.231476,0.000000,0.055633,6.720000,5.000000,0
3.282344,0.000000,0.055633,6.790000,5.000000,0
3.333266,0.000000,0.055633,6.660000,5.000000,0
3.383802,0.000000,0.055633,6.790000,5.000000,0
3.434640,0.000000,0.055633,6.720000,5.000000,0
3.485600,0.000000,0.055633,6.720000,5.000000,0
3.536502,0.000000,0.055633,6.660000,5.000000,0
3.587216,0.000000,0.055633,6.720000,5.000000,0
3.638298,0.000000,0.055633,6.660000,5.000000,0
3.689228,0.000000,0.055633,6.660000,5.000000,0
3.739877,0.000000,0.055633,6.790000,5.000000,0
3.790891,0.000000,0.055633,6.790000,5.000000,0
3.841681,0.000000,0.055633,6.720000,5.000000,0
3.892777,0.000000,0.055633,6.850000,5.000000,0
3.943999,0.000000,0.055633,6.720000,5.000000,0
3.994809,0.000000,0.055633,6.720000,5.000000,0
4.045326,0.000000,0.055633,6.720000,5.000000,0
4.096153,0.000000,0.055633,6.790000,5.000000,0
4.147264,0.000000,0.055633,6.660000,5.000000,0
4.198282,0.000000,0.055633,6.660000,5.000000,0
4.249192,0.000000,0.055633,6.720000,5.000000,0
4.299909,0.000000,0.055633,6.720000,5.000000,0
4.350564,0.000000,0.055633,6.720000,5.000000,0
4.401624,0.000000,0.055633,6.660000,5.000000,0
4.452623,0.000000,0.055633,6.660000,5.000000,0
4.503807,0.000000,0.055633,6.720000,5.000000,0
4.554492,0.000000,0.055633,6.790000,5.000000,0
4.605342,0.000000,0.055633,6.660000,5.000000,0
4.656421,0.000000,0.055633,6.720000,5.000000,0
4.707966,0.000000,0.055633,6.720000,5.000000,0
4.759511,0.000000,0.055633,6.790000,5.000000,0
4.810217,0.000000,0.055633,6.720000,5.000000,0
4.861092,0.000000,0.055633,6.720000,5.000000,0
4.911910,0.000000,0.055633,6.790000,5.000000,0
4.962526,0.000000,0.055633,6.720000,5.000000,0
5.013162,0.000000,0.055633,6.790000,10.000000,1
5.064608,0.000000,0.055633,6.660000,10.000000,1
5.115271,0.000000,0.055633,6.660000,10.000000,1
5.166236,0.000000,0.055633,6.790000,10.000000,1
5.217116,0.000000,0.055633,6.850000,10.000000,1
