wall_time_s,iso_time,cycle_idx,phase,position_mm,force_n,target_position_mm,speed_mm_s
0.180945,2026-02-13T17:39:04.156,1,to_target,0.000000,0.100000,30.000000,20.000000
0.681196,2026-02-13T17:39:04.656,1,to_target,3.372106,0.290000,30.000000,20.000000
1.181673,2026-02-13T17:39:05.157,1,to_target,8.372145,0.100000,30.000000,20.000000
1.682338,2026-02-13T17:39:05.657,1,to_target,13.372106,0.170000,30.000000,20.000000
2.183960,2026-02-13T17:39:06.158,1,to_target,18.372106,0.170000,30.000000,20.000000
2.685425,2026-02-13T17:39:06.659,1,to_target,23.372145,0.100000,30.000000,20.000000
3.186548,2026-02-13T17:39:07.161,1,to_target,28.572029,0.170000,30.000000,20.000000
3.687797,2026-02-13T17:39:07.662,1,to_target,30.000039,0.170000,30.000000,20.000000
4.189260,2026-02-13T17:39:08.163,1,to_target,30.000000,0.170000,30.000000,20.000000
4.690168,2026-02-13T17:39:08.664,1,to_target,30.000000,0.230000,30.000000,20.000000
5.191210,2026-02-13T17:39:09.165,1,to_origin,28.236381,0.170000,30.000000,20.000000
5.696960,2026-02-13T17:39:09.667,1,to_origin,23.237886,0.170000,30.000000,20.000000
6.194541,2026-02-13T17:39:10.169,1,to_origin,18.237809,0.100000,30.000000,20.000000
6.695185,2026-02-13T17:39:10.670,1,to_origin,13.237847,0.100000,30.000000,20.000000
7.196231,2026-02-13T17:39:11.171,1,to_origin,8.237847,0.170000,30.000000,20.000000
7.696846,2026-02-13T17:39:11.671,1,to_origin,3.237963,0.100000,30.000000,20.000000
8.198204,2026-02-13T17:39:12.172,1,to_origin,0.001466,0.100000,30.000000,20.000000
8.699233,2026-02-13T17:39:12.673,1,to_origin,0.000000,0.100000,30.000000,20.000000
9.199425,2026-02-13T17:39:13.174,1,to_origin,0.000000,0.170000,30.000000,20.000000
9.700991,2026-02-13T17:39:13.675,2,to_target,1.773611,0.290000,30.000000,20.000000
10.201578,2026-02-13T17:39:14.176,2,to_target,6.772068,0.100000,30.000000,20.000000
10.704168,2026-02-13T17:39:14.679,2,to_target,11.772068,0.170000,30.000000,20.000000
11.203625,2026-02-13T17:39:15.178,2,to_target,16.772068,0.170000,30.000000,20.000000
11.705459,2026-02-13T17:39:15.679,2,to_target,21.772106,0.100000,30.000000,20.000000
12.206508,2026-02-13T17:39:16.181,2,to_target,26.972068,0.100000,30.000000,20.000000
12.706801,2026-02-13T17:39:16.681,2,to_target,29.999344,0.230000,30.000000,20.000000
13.208510,2026-02-13T17:39:17.182,2,to_target,30.000000,0.170000,30.000000,20.000000
13.708272,2026-02-13T17:39:17.683,2,to_target,30.000000,0.230000,30.000000,20.000000
14.209087,2026-02-13T17:39:18.184,2,to_origin,28.226466,0.230000,30.000000,20.000000
14.710301,2026-02-13T17:39:18.685,2,to_origin,23.227855,0.170000,30.000000,20.000000
15.211080,2026-02-13T17:39:19.186,2,to_origin,18.227855,0.230000,30.000000,20.000000
15.712782,2026-02-13T17:39:19.687,2,to_origin,13.227894,0.170000,30.000000,20.000000
16.213807,2026-02-13T17:39:20.188,2,to_origin,8.227778,0.170000,30.000000,20.000000
16.714826,2026-02-13T17:39:20.689,2,to_origin,3.227894,0.290000,30.000000,20.000000
17.216266,2026-02-13T17:39:21.190,2,to_origin,0.001543,0.100000,30.000000,20.000000
17.715959,2026-02-13T17:39:21.691,2,to_origin,-0.000039,-0.020000,30.000000,20.000000
18.216345,2026-02-13T17:39:22.191,2,to_origin,0.000000,0.100000,30.000000,20.000000
18.716839,2026-02-13T17:39:22.692,3,to_target,1.773611,0.170000,30.000000,20.000000
19.219017,2026-02-13T17:39:23.193,3,to_target,6.772106,0.170000,30.000000,20.000000
19.719666,2026-02-13T17:39:23.694,3,to_target,11.772145,0.170000,30.000000,20.000000
20.220770,2026-02-13T17:39:24.195,3,to_target,16.772106,0.100000,30.000000,20.000000
20.721146,2026-02-13T17:39:24.696,3,to_target,21.771991,0.170000,30.000000,20.000000
21.221876,2026-02-13T17:39:25.197,3,to_target,26.772145,0.170000,30.000000,20.000000
21.722200,2026-02-13T17:39:25.697,3,to_target,29.998611,0.170000,30.000000,20.000000
22.222777,2026-02-13T17:39:26.197,3,to_target,30.000000,0.100000,30.000000,20.000000
22.724195,2026-02-13T17:39:26.698,3,to_target,30.000000,0.170000,30.000000,20.000000
23.224647,2026-02-13T17:39:27.199,3,to_origin,28.226466,0.100000,30.000000,20.000000
23.725890,2026-02-13T17:39:27.700,3,to_origin,23.227855,0.100000,30.000000,20.000000
24.226781,2026-02-13T17:39:28.201,3,to_origin,18.227816,0.100000,30.000000,20.000000
24.727784,2026-02-13T17:39:28.702,3,to_origin,13.227855,0.170000,30.000000,20.000000
25.228483,2026-02-13T17:39:29.203,3,to_origin,8.227855,0.100000,30.000000,20.000000
25.730000,2026-02-13T17:39:29.704,3,to_origin,3.227855,0.170000,30.000000,20.000000
26.231110,2026-02-13T17:39:30.205,3,to_origin,0.001427,0.170000,30.000000,20.000000
26.733158,2026-02-13T17:39:30.707,3,to_origin,0.000000,0.170000,30.000000,20.000000
27.233704,2026-02-13T17:39:31.208,3,to_origin,0.000000,0.100000,30.000000,20.000000
